;;;t;V in;V out
;;;-0,00001756;4,72;
;;;-0,00001754;4,76;
;;;-0,00001752;4,72;
;;;-0,0000175;4,72;
;;;-0,00001748;4,72;
;;;-0,00001746;4,72;
;;;-0,00001744;4,72;
;;;-0,00001742;4,76;
;;;-0,0000174;4,72;
;;;-0,00001738;4,72;
;;;-0,00001736;4,68;
;;;-0,00001734;4,72;
;;;-0,00001732;4,72;
;;;-0,0000173;4,76;
;;;-0,00001728;4,76;
;;;-0,00001726;4,76;
;;;-0,00001724;4,72;
;;;-0,00001722;4,68;
;;;-0,0000172;4,72;
;;;-0,00001718;4,68;
;;;-0,00001716;4,72;
;;;-0,00001714;4,72;
;;;-0,00001712;4,72;
;;;-0,0000171;4,72;
;;;-0,00001708;4,72;
;;;-0,00001706;4,72;
;;;-0,00001704;4,72;
;;;-0,00001702;4,72;
;;;-0,000017;4,68;
;;;-0,00001698;4,72;
;;;-0,00001696;4,72;
;;;-0,00001694;4,72;
;;;-0,00001692;4,68;
;;;-0,0000169;4,68;
;;;-0,00001688;4,76;
;;;-0,00001686;4,72;
;;;-0,00001684;4,68;
;;;-0,00001682;4,68;
;;;-0,0000168;4,64;
;;;-0,00001678;4,68;
;;;-0,00001676;4,68;
;;;-0,00001674;4,72;
;;;-0,00001672;4,64;
;;;-0,0000167;4,68;
;;;-0,00001668;4,68;
;;;-0,00001666;4,72;
;;;-0,00001664;4,68;
;;;-0,00001662;4,68;
;;;-0,0000166;4,68;
;;;-0,00001658;4,64;
;;;-0,00001656;4,68;
;;;-0,00001654;4,68;
;;;-0,00001652;4,72;
;;;-0,0000165;4,68;
;;;-0,00001648;4,68;
;;;-0,00001646;4,68;
;;;-0,00001644;4,68;
;;;-0,00001642;4,68;
;;;-0,0000164;4,68;
;;;-0,00001638;4,64;
;;;-0,00001636;4,68;
;;;-0,00001634;4,68;
;;;-0,00001632;4,68;
;;;-0,0000163;4,64;
;;;-0,00001628;4,68;
;;;-0,00001626;4,64;
;;;-0,00001624;4,64;
;;;-0,00001622;4,68;
;;;-0,0000162;4,68;
;;;-0,00001618;4,64;
;;;-0,00001616;4,64;
;;;-0,00001614;4,64;
;;;-0,00001612;4,64;
;;;-0,0000161;4,6;
;;;-0,00001608;4,64;
;;;-0,00001606;4,68;
;;;-0,00001604;4,6;
;;;-0,00001602;4,64;
;;;-0,000016;4,64;
;;;-0,00001598;4,68;
;;;-0,00001596;4,6;
;;;-0,00001594;4,64;
;;;-0,00001592;4,64;
;;;-0,0000159;4,64;
;;;-0,00001588;4,6;
;;;-0,00001586;4,64;
;;;-0,00001584;4,6;
;;;-0,00001582;4,56;
;;;-0,0000158;4,64;
;;;-0,00001578;4,6;
;;;-0,00001576;4,6;
;;;-0,00001574;4,6;
;;;-0,00001572;4,56;
;;;-0,0000157;4,6;
;;;-0,00001568;4,64;
;;;-0,00001566;4,6;
;;;-0,00001564;4,64;
;;;-0,00001562;4,56;
;;;-0,0000156;4,6;
;;;-0,00001558;4,6;
;;;-0,00001556;4,64;
;;;-0,00001554;4,52;
;;;-0,00001552;4,56;
;;;-0,0000155;4,56;
;;;-0,00001548;4,56;
;;;-0,00001546;4,56;
;;;-0,00001544;4,6;
;;;-0,00001542;4,56;
;;;-0,0000154;4,56;
;;;-0,00001538;4,52;
;;;-0,00001536;4,56;
;;;-0,00001534;4,56;
;;;-0,00001532;4,56;
;;;-0,0000153;4,6;
;;;-0,00001528;4,6;
;;;-0,00001526;4,52;
;;;-0,00001524;4,6;
;;;-0,00001522;4,56;
;;;-0,0000152;4,56;
;;;-0,00001518;4,6;
;;;-0,00001516;4,56;
