;;;t;Vin;Vout
;;;-0,0001282;1,1696;0,05117
;;;-0,000128;1,1968;0,05117
;;;-0,0001278;1,1968;0,05248
;;;-0,0001276;1,1696;0,05248
;;;-0,0001274;1,1968;0,04986
;;;-0,0001272;1,1696;0,04986
;;;-0,000127;1,1696;0,05117
;;;-0,0001268;1,224;0,04854
;;;-0,0001266;1,2512;0,05248
;;;-0,0001264;1,224;0,04986
;;;-0,0001262;1,2784;0,05248
;;;-0,000126;1,1968;0,04986
;;;-0,0001258;1,1968;0,04854
;;;-0,0001256;1,1968;0,05117
;;;-0,0001254;1,2512;0,04986
;;;-0,0001252;1,224;0,05117
;;;-0,000125;1,224;0,04854
;;;-0,0001248;1,2512;0,04854
;;;-0,0001246;1,224;0,04854
;;;-0,0001244;1,224;0,04986
;;;-0,0001242;1,2784;0,04854
;;;-0,000124;1,2512;0,05117
;;;-0,0001238;1,2784;0,04986
;;;-0,0001236;1,1968;0,04986
;;;-0,0001234;1,2512;0,04986
;;;-0,0001232;1,2784;0,04854
;;;-0,000123;1,2512;0,05117
;;;-0,0001228;1,224;0,04854
;;;-0,0001226;1,1968;0,04854
;;;-0,0001224;1,2512;0,04986
;;;-0,0001222;1,2784;0,04986
;;;-0,000122;1,1968;0,04854
;;;-0,0001218;1,2512;0,04723
;;;-0,0001216;1,224;0,04854
;;;-0,0001214;1,2784;0,04854
;;;-0,0001212;1,2512;0,04723
;;;-0,000121;1,2512;0,04854
;;;-0,0001208;1,224;0,04461
;;;-0,0001206;1,3056;0,04592
;;;-0,0001204;1,224;0,04723
;;;-0,0001202;1,224;0,04854
;;;-0,00012;1,2512;0,04723
;;;-0,0001198;1,2784;0,04854
;;;-0,0001196;1,2784;0,04723
;;;-0,0001194;1,2784;0,04723
;;;-0,0001192;1,2784;0,04854
;;;-0,000119;1,3056;0,04986
;;;-0,0001188;1,3328;0,04723
;;;-0,0001186;1,2512;0,04723
;;;-0,0001184;1,2512;0,04592
;;;-0,0001182;1,224;0,04592
;;;-0,000118;1,2784;0,04461
;;;-0,0001178;1,2784;0,04986
;;;-0,0001176;1,3328;0,04592
;;;-0,0001174;1,2512;0,04592
;;;-0,0001172;1,224;0,04854
;;;-0,000117;1,2512;0,04854
;;;-0,0001168;1,2784;0,04592
;;;-0,0001166;1,3056;0,04592
;;;-0,0001164;1,2512;0,04592
;;;-0,0001162;1,2784;0,04592
;;;-0,000116;1,2784;0,0433
;;;-0,0001158;1,3056;0,04461
;;;-0,0001156;1,3056;0,04854
;;;-0,0001154;1,2784;0,0433
;;;-0,0001152;1,2784;0,04461
;;;-0,000115;1,3056;0,04461
;;;-0,0001148;1,3056;0,04461
;;;-0,0001146;1,3056;0,0433
;;;-0,0001144;1,3056;0,04592
;;;-0,0001142;1,3328;0,04592
;;;-0,000114;1,36;0,04461
;;;-0,0001138;1,2784;0,0433
;;;-0,0001136;1,3056;0,0433
;;;-0,0001134;1,3056;0,0433
;;;-0,0001132;1,36;0,04461
;;;-0,000113;1,3056;0,0433
;;;-0,0001128;1,36;0,04461
;;;-0,0001126;1,3872;0,04461
;;;-0,0001124;1,36;0,04592
;;;-0,0001122;1,3328;0,0433
;;;-0,000112;1,3328;0,04461
;;;-0,0001118;1,3328;0,04461
;;;-0,0001116;1,36;0,04067
;;;-0,0001114;1,36;0,04461
;;;-0,0001112;1,3328;0,04461
;;;-0,000111;1,3056;0,04198
;;;-0,0001108;1,3056;0,0433
;;;-0,0001106;1,36;0,0433
;;;-0,0001104;1,3328;0,04198
;;;-0,0001102;1,36;0,0433
;;;-0,00011;1,36;0,04198
;;;-0,0001098;1,36;0,0433
;;;-0,0001096;1,3872;0,04198
;;;-0,0001094;1,3872;0,04198
;;;-0,0001092;1,3328;0,0433
;;;-0,000109;1,3872;0,04592
;;;-0,0001088;1,36;0,0433
;;;-0,0001086;1,3872;0,04198
;;;-0,0001084;1,3872;0,0433
;;;-0,0001082;1,36;0,0433
;;;-0,000108;1,3872;0,04198
;;;-0,0001078;1,3328;0,0433
;;;-0,0001076;1,36;0,0433
;;;-0,0001074;1,36;0,04198
;;;-0,0001072;1,36;0,0433
;;;-0,000107;1,36;0,04067
;;;-0,0001068;1,3872;0,0433
;;;-0,0001066;1,36;0,0433
;;;-0,0001064;1,3872;0,04198
;;;-0,0001062;1,3328;0,04067
;;;-0,000106;1,36;0,03936
;;;-0,0001058;1,3872;0,04067
;;;-0,0001056;1,3872;0,03936
;;;-0,0001054;1,3872;0,0433
;;;-0,0001052;1,4144;0,04067
;;;-0,000105;1,4416;0,03936
;;;-0,0001048;1,36;0,03805
;;;-0,0001046;1,4144;0,04198
;;;-0,0001044;1,3872;0,03936
;;;-0,0001042;1,3872;0,04067
;;;-0,000104;1,4416;0,04067
;;;-0,0001038;1,3872;0,04067
;;;-0,0001036;1,4144;0,03936
;;;-0,0001034;1,4144;0,03936
;;;-0,0001032;1,36;0,03805
;;;-0,000103;1,4416;0,03936
;;;-0,0001028;1,3872;0,03805
;;;-0,0001026;1,4416;0,03936
;;;-0,0001024;1,4416;0,04067
;;;-0,0001022;1,36;0,03936
;;;-0,000102;1,4416;0,03805
;;;-0,0001018;1,4144;0,03674
;;;-0,0001016;1,3872;0,03805
;;;-0,0001014;1,4144;0,03936
;;;-0,0001012;1,4144;0,04067
;;;-0,000101;1,4416;0,03936
;;;-0,0001008;1,3872;0,03674
;;;-0,0001006;1,3872;0,03805
;;;-0,0001004;1,36;0,03936
;;;-0,0001002;1,3872;0,03805
;;;-0,0001;1,4144;0,03936
;;;-0,0000998;1,4416;0,03936
;;;-0,0000996;1,4144;0,03674
;;;-0,0000994;1,4688;0,03805
;;;-0,0000992;1,496;0,03936
;;;-0,000099;1,4688;0,03805
;;;-0,0000988;1,3872;0,03805
;;;-0,0000986;1,4416;0,03805
;;;-0,0000984;1,4144;0,03805
;;;-0,0000982;1,4144;0,03805
;;;-0,000098;1,4416;0,03674
;;;-0,0000978;1,4416;0,03542
;;;-0,0000976;1,4688;0,03805
;;;-0,0000974;1,4144;0,03674
;;;-0,0000972;1,4416;0,03805
;;;-0,000097;1,496;0,03936
;;;-0,0000968;1,4688;0,03805
;;;-0,0000966;1,4416;0,03674
;;;-0,0000964;1,4416;0,03805
;;;-0,0000962;1,4416;0,03674
;;;-0,000096;1,4144;0,03674
;;;-0,0000958;1,4688;0,03542
;;;-0,0000956;1,4416;0,03542
;;;-0,0000954;1,496;0,03674
;;;-0,0000952;1,4688;0,03674
;;;-0,000095;1,4416;0,03542
;;;-0,0000948;1,496;0,03411
