;;;t;Vin;Vout
;;;-0,00001962;0,536;4,84
;;;-0,0000196;0,536;4,84
;;;-0,00001958;0,536;4,8
;;;-0,00001956;0,528;4,84
;;;-0,00001954;0,536;4,84
;;;-0,00001952;0,536;4,84
;;;-0,0000195;0,528;4,8
;;;-0,00001948;0,528;4,8
;;;-0,00001946;0,544;4,84
;;;-0,00001944;0,544;4,84
;;;-0,00001942;0,528;4,88
;;;-0,0000194;0,536;4,84
;;;-0,00001938;0,528;4,84
;;;-0,00001936;0,536;4,84
;;;-0,00001934;0,536;4,8
;;;-0,00001932;0,536;4,84
;;;-0,0000193;0,536;4,84
;;;-0,00001928;0,536;4,84
;;;-0,00001926;0,552;4,84
;;;-0,00001924;0,536;4,8
;;;-0,00001922;0,544;4,84
;;;-0,0000192;0,528;4,84
;;;-0,00001918;0,536;4,84
;;;-0,00001916;0,536;4,8
;;;-0,00001914;0,536;4,8
;;;-0,00001912;0,536;4,88
;;;-0,0000191;0,544;4,8
;;;-0,00001908;0,544;4,84
;;;-0,00001906;0,544;4,84
;;;-0,00001904;0,544;4,84
;;;-0,00001902;0,544;4,84
;;;-0,000019;0,544;4,8
;;;-0,00001898;0,536;4,8
;;;-0,00001896;0,536;4,84
;;;-0,00001894;0,544;4,84
;;;-0,00001892;0,544;4,84
;;;-0,0000189;0,536;4,84
;;;-0,00001888;0,544;4,76
;;;-0,00001886;0,552;4,84
;;;-0,00001884;0,544;4,84
;;;-0,00001882;0,544;4,84
;;;-0,0000188;0,544;4,8
;;;-0,00001878;0,544;4,8
;;;-0,00001876;0,544;4,8
;;;-0,00001874;0,536;4,8
;;;-0,00001872;0,544;4,84
;;;-0,0000187;0,552;4,8
;;;-0,00001868;0,528;4,84
;;;-0,00001866;0,544;4,8
;;;-0,00001864;0,544;4,8
;;;-0,00001862;0,536;4,8
;;;-0,0000186;0,544;4,8
;;;-0,00001858;0,536;4,84
;;;-0,00001856;0,544;4,76
;;;-0,00001854;0,536;4,76
;;;-0,00001852;0,56;4,8
;;;-0,0000185;0,536;4,8
;;;-0,00001848;0,552;4,76
;;;-0,00001846;0,536;4,8
;;;-0,00001844;0,544;4,8
;;;-0,00001842;0,544;4,8
;;;-0,0000184;0,544;4,76
;;;-0,00001838;0,544;4,8
;;;-0,00001836;0,544;4,76
;;;-0,00001834;0,544;4,76
;;;-0,00001832;0,552;4,8
;;;-0,0000183;0,552;4,8
;;;-0,00001828;0,552;4,76
;;;-0,00001826;0,544;4,8
;;;-0,00001824;0,552;4,76
;;;-0,00001822;0,536;4,8
;;;-0,0000182;0,552;4,76
;;;-0,00001818;0,536;4,76
;;;-0,00001816;0,544;4,76
;;;-0,00001814;0,544;4,8
;;;-0,00001812;0,544;4,72
;;;-0,0000181;0,544;4,8
;;;-0,00001808;0,544;4,76
;;;-0,00001806;0,536;4,76
;;;-0,00001804;0,544;4,72
;;;-0,00001802;0,544;4,8
;;;-0,000018;0,552;4,8
;;;-0,00001798;0,544;4,76
;;;-0,00001796;0,544;4,76
;;;-0,00001794;0,544;4,8
;;;-0,00001792;0,544;4,8
;;;-0,0000179;0,544;4,8
;;;-0,00001788;0,552;4,76
;;;-0,00001786;0,552;4,76
;;;-0,00001784;0,544;4,76
;;;-0,00001782;0,56;4,76
;;;-0,0000178;0,552;4,72
;;;-0,00001778;0,56;4,8
;;;-0,00001776;0,552;4,76
;;;-0,00001774;0,552;4,8
;;;-0,00001772;0,544;4,76
;;;-0,0000177;0,552;4,76
;;;-0,00001768;0,552;4,76
;;;-0,00001766;0,56;4,76
;;;-0,00001764;0,544;4,76
;;;-0,00001762;0,544;4,68
;;;-0,0000176;0,552;4,76
;;;-0,00001758;0,552;4,76
;;;-0,00001756;0,552;4,72
;;;-0,00001754;0,552;4,76
;;;-0,00001752;0,544;4,72
;;;-0,0000175;0,552;4,72
;;;-0,00001748;0,568;4,72
;;;-0,00001746;0,544;4,72
;;;-0,00001744;0,544;4,72
;;;-0,00001742;0,552;4,76
;;;-0,0000174;0,552;4,72
;;;-0,00001738;0,552;4,72
